ID_track,ID_isrc,ID_artist,ID_album,song_name,song_artist,album_name,album_type,album_label,album_popularity,album_release_date,album_release_year,album_total_tracks,artist_popularity,artist_genres,artist_followers,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,duration_sec,duration_min,end_of_fade_in,start_of_fade_out,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence
6TtIjWAaPJ8ac4MyTOJrSb,GBCEJ1600187,1vfusWMe7GXj7agfmDqcpe,6abvAeEDSrG5QFaweC5mkS,Blood Moon,Giraffe Tongue Orchestra,Broken Lines,album,Party Smasher Inc,28,2016-09-23,2016,10,24,genres TODO,19822,0.665,0.892,-6.415,0.0469,0.0067,4.6e-05,0.327,0.428,199500,199.5,3.325,7.49424,190.89125,120.02,0.59,4,1.0,10,0.476,0,0.767
38OkrMgJXenpMCTpjw51RC,CH6542053747,358aVgId2jUiL2HnPZa76q,66AVeimiGW2y1p2PS4h30n,People from the Dark Hill - The Algorithm Remix,Aura Shred,Before the Next Remixes,album,iM Electronica,15,2020-11-13,2020,9,22,genres TODO,1328,0.511,0.995,-6.997,0.0625,0.00102,0.891,0.142,0.0365,217500,217.5,3.625,0.0,208.60226,128.006,0.738,4,0.695,8,0.672,1,0.621
0vO8MmB2WjZWswEs6DLd8R,UK2SX2205061,5W5WG8x5yc4J5RYeJ5C690,1cmOw2q1JFnVPzWqReySBm,Ayan - Premonition Mix,Petbrick,Ayan (Premonition Mix),single,Rocket Recordings,20,2022-05-05,2022,1,20,genres TODO,2916,0.524,0.864,-9.741,0.0904,0.0371,0.751,0.245,0.144,554251,554.251,9.238,7.37814,529.07245,165.021,0.759,4,0.858,7,0.44,1,0.415
3P3P9ZDRYD0wTatIR6dAXe,US4E41529813,3rLgIB7dHh2MGYpiOMajJI,00dtTOtZInCFixU93g6Amw,Gaia,Hexvessel,Earth over Us - Single,single,Century Media,17,2015-11-27,2015,2,27,genres TODO,19861,0.203,0.563,-9.708,0.0345,0.465,0.00173,0.109,0.0921,373443,373.443,6.224,0.0,365.9523,131.69,0.106,4,0.164,2,0.941,0,0.828
1tzOWOFuEwF0Bq528iet9t,SEWOL1500102,6Bz2ZeTKI0cyJwt7tBKoUU,2Zf4grj4wj3hxFSQoDeb5B,Back to the River,We Hunt Buffalo,Living Ghosts,album,Fuzzorama Records,20,2015-09-25,2015,10,28,genres TODO,13630,0.332,0.89,-5.922,0.0547,9.75e-05,0.458,0.279,0.39,303542,303.542,5.059,0.0,281.10657,150.157,0.035,3,0.966,5,0.669,1,0.573
5T4UjkEsXkComlGFAV2rKT,US4E40630207,2WLmgv66Uq4vt2i36vwkAq,5tapBTxtptQHT6X4XEqvD1,The Fallout,The Haunted,The Dead Eye (Deluxe Edition),album,Century Media,33,2006-07-13,2006,15,41,genres TODO,124296,0.497,0.697,-7.083,0.0282,4.56e-06,0.00573,0.0927,0.254,262667,262.667,4.378,3.12889,257.68344,90.023,0.216,4,0.71,1,0.544,0,0.728
09SvE4RSe1Unl1Ta2Fj98N,TCAFL2152234,06D0YfeNZgBA7XWQ79Y42R,031668YzIc2Lxmb8FiR8d9,Burning,King Buffalo,The Burden of Restlessness,album,King Buffalo,32,2021-06-04,2021,7,42,genres TODO,47805,0.674,0.637,-11.367,0.0386,0.000107,0.708,0.107,0.166,393138,393.138,6.552,3.59909,381.6548,128.015,0.539,4,1.0,10,0.173,0,0.297
4ZCfNZYY5WxIWMh4fuZhzY,SE34R1703801,2rVYWIbqIKx8d6hN4owg4A,2CyKr3HYH8l2T3s6J08IO3,Level 1,Al Lover,Nymphaea Caerulea EP,single,Höga Nord Rekords,21,2017-03-31,2017,6,28,genres TODO,6168,0.393,0.792,-6.796,0.0368,9.3e-06,0.769,0.0994,0.292,196054,196.054,3.268,3.51782,186.62457,156.627,0.205,4,1.0,7,0.51,0,0.516
5kSvN9dYAh9f5wwKlWmBPr,DEQ121113325,5iFI4j0w7RbSJmkbI6rqzi,6ldc1HWw2mUV3lrJeTjqoB,Warum,Knorkator,Es werde Nicht,album,tubareckorz,40,2011-09-16,2011,26,46,genres TODO,90235,0.484,0.803,-5.067,0.0409,0.000447,0.00318,0.0962,0.492,251437,251.437,4.191,0.48186,245.3072,75.016,0.019,4,1.0,7,0.761,1,0.635
1odxPoRXGFPUVlGra3SqoK,QZ4JJ1953158,2MIoyDjdxCUdnV59UqbJGk,2grZMJgSWGyf7vVdiYWHft,Initiation,Green Lung,Woodland Rites,album,Old Gods Ltd,32,2019-03-20,2019,8,34,genres TODO,28246,0.411,0.281,-8.719,0.0404,0.00556,0.303,0.361,0.218,152520,152.52,2.542,0.26703,152.52,120.08,0.319,4,1.0,0,0.275,0,0.5
7oSPTXOFXnPfgPBjTJAifE,ushm21205480,6lMwUV4nVScxzSAQYX4JNF,6byIMc02oSWBlsdiEYdr9X,Spice Dealer,Merrow,Retrospecial,album,Merrow,27,2012-05-06,2012,8,27,genres TODO,16341,0.269,0.924,-4.446,0.0638,7.57e-05,0.638,0.0719,0.172,287939,287.939,4.799,3.86032,281.7045,112.273,0.389,3,0.939,11,0.982,1,0.673
1i71KKidCi95efijLD9REW,ATN261879601,5Hr53UjzhLt2qU7XL7OFh8,21dtjHOCv0Q2frRxnO8TSV,Space Vato,John Garcia,John Garcia And The Band Of Gold,album,Napalm Records,14,2019-01-04,2019,11,29,genres TODO,24268,0.203,0.857,-6.793,0.0522,0.0222,0.69,0.41,0.169,164863,164.863,2.748,0.0,162.17397,79.302,0.193,4,0.457,5,0.031,1,0.531
3iSOlkvzSiJsWpaTn04Guc,GBUM71807298,5w09r1HW3Dc8BMYIvqbnnF,65shF8hKjk7GqJVVSW8Z1G,Axis,Mark Morton,Anesthetic,album,Spinefarm Records UK,39,2019-03-01,2019,10,40,genres TODO,46416,0.498,0.816,-6.205,0.0578,0.000848,0.53,0.108,0.521,253145,253.145,4.219,0.10376,228.62367,154.087,0.567,4,0.989,0,0.165,1,0.429
1bdEZCbeCLmqkTgEbgGB65,ATN261776701,5BViLZRXrRfhPDokkbYiMy,2RD5kGyhSfxo6XwSBvIhq5,Tar-Calion,Summoning,With Doom We Come,album,Napalm Records,10,2018-01-05,2018,8,36,genres TODO,87375,0.414,0.787,-6.37,0.0515,0.000516,0.832,0.11,0.322,435707,435.707,7.262,0.09365,429.06992,130.155,0.791,4,0.987,8,0.626,1,0.577
78sagekD7OOXDd1XsB5LD6,NOLZQ1602080,1RGjVd2AAPAXjVZWYkmf7p,71ABCZvkjCjZJaQHnVxNOa,A Dream of Earth,Khonsu,The Xun Protectorate,album,Jhator Recordings,22,2016-11-18,2016,10,19,genres TODO,7586,0.521,0.77,-6.444,0.0285,0.00831,0.865,0.0708,0.079,470088,470.088,7.835,0.998,455.59872,145.0,0.419,4,0.881,0,1.0,0,0.899
6CjjAOX5k0J3hKypzOJyrH,US4E40848301,3oEgpuVSe4DDtzR7GMiLyS,5rJvICSQk50H3otCBfIIuY,When You Were Shouting at the Devil...We Were In League With Satan,Zimmers Hole,"When You Were Shouting at the Devil, We Were In League With Satan",album,Century Media,25,2008-07-13,2008,11,22,genres TODO,8389,0.333,0.863,-5.115,0.069,1.72e-05,0.161,0.187,0.0492,314800,314.8,5.247,6.7512,314.8,175.04,0.678,4,0.382,8,0.24,0,0.492
23ZeUmQSVdxNtDjlHBIgLQ,GBDHC2016307,1uRpg2s2jNaxbmoNiJDGfd,1Y31kS1a9b6tyXA9aAN9Tw,PANTHER,Pain of Salvation,PANTHER,album,InsideOutMusic,27,2020-08-28,2020,9,41,genres TODO,117200,0.622,0.791,-11.251,0.0935,0.0611,0.000256,0.0898,0.327,251507,251.507,4.192,0.0,243.3219,111.918,0.68,4,0.943,0,0.542,0,0.562
28LcejLJ4Yf5096gW8Jqze,DED831900763,0d5ZwMtCer8dQdOPAgWhe7,2ReUNPc0bHIXNm89oKqjf9,Sapphire - Perturbator Version,Alcest,Sapphire (Perturbator Version),single,Nuclear Blast,25,2020-03-06,2020,1,45,genres TODO,221719,0.182,0.864,-7.382,0.0594,1.07e-05,0.783,0.0828,0.272,300800,300.8,5.013,0.99678,293.61053,75.014,0.301,4,0.736,8,0.621,0,0.578
6P5gjBTJZU057oxPNjPbR4,AUBEC1601866,4Eib3RN6YLpbTcivZ4hBXx,4JfRrKnVAlOL9YzC3DbNkP,Promised Land,The Ugly Kings,Darkness Is My Home,album,Independent,25,2018-04-13,2018,9,28,genres TODO,9392,0.435,0.854,-6.744,0.084,0.0106,0.00038,0.132,0.315,292874,292.874,4.881,0.0,288.86786,115.682,0.335,4,0.903,5,0.498,1,0.349
6NqqD4k7bxA1tF3bQ22u3f,DEA619751150,6vqKFMUby5h9AXImifqjrH,0LiTa2j2jTp6KBu6bJv3i2,I Am a Pig,Two,Voyeurs,album,EastWest Germany,20,1997,1997,11,17,genres TODO,1055,0.542,0.874,-8.259,0.0446,0.000377,0.73,0.169,0.315,217427,217.427,3.624,2.63546,209.77489,110.056,0.796,4,1.0,5,0.016,1,0.547
6tO86fCSeClXWXVMqQpCEJ,IL6191801033,3gzgB8WFPLlgpn03piQ5pB,0O0gQZvFI1B5vGcnXOyXWh,Lemon,TATRAN,Foresee,album,Kame'a,21,2018-11-30,2018,11,24,genres TODO,18369,0.341,0.642,-8.132,0.035,0.0314,0.827,0.0892,0.391,302073,302.073,5.035,1.56776,297.4244,187.797,0.039,4,1.0,10,0.363,1,0.139
5Gj2pyQNnAgeCTQuP78bgm,ATN261563305,4QjcHVaUB35395GeUoRIfZ,0kZ7HJx1Jhy4sMAqGNFsM9,Achtung,Varg,Das Ende aller Lügen (Deluxe Version),album,Napalm Records,22,2016-01-15,2016,20,31,genres TODO,36687,0.583,0.955,-3.701,0.101,0.000663,1.9e-06,0.112,0.392,221000,221.0,3.683,0.2746,212.40454,134.967,0.231,4,1.0,7,0.862,1,0.65
2ZJwBO0fLrMHT6RRdSAnSz,TCACE1572761,056E4z3dLY3NlRs1w0YW5y,47OJFqgnW5FXURofJjrNlo,On the Wings of Nefeli,Mechina,Acheron,album,Mechina,25,2015-03-22,2015,11,31,genres TODO,23602,0.397,0.93,-7.05,0.116,0.0587,0.606,0.376,0.0427,444829,444.829,7.414,0.0,444.82938,145.036,0.342,4,0.868,8,0.532,0,0.504
0JZjn9sGtDwfHHCsQ6s7Jm,USET71517501,3nnSgQo8TIgiO5M5pv3mlV,4yrLm28zteNTZKTT2VgmOr,The Moth,Kingcrow,Eidos,album,Sensory,29,2015-06-23,2015,10,28,genres TODO,16356,0.491,0.75,-8.361,0.037,0.00156,0.00266,0.403,0.617,262253,262.253,4.371,0.20907,256.97525,84.919,0.136,4,0.971,0,0.366,1,0.451
30CNn9quqv18Qs3QCJbXSF,CADE71800842,5oToGR9YFfpwBmXleDpB7T,0Abot2OQVs69c8rnXIboND,World of Inconvenience (feat. King Buzzo),Dub Trio,The Shape of Dub to Come,album,New Damage Records,22,2019-04-26,2019,9,30,genres TODO,20037,0.548,0.711,-5.155,0.0282,0.000228,0.0122,0.245,0.242,350600,350.6,5.843,0.0,332.01053,99.006,0.43,4,0.969,5,0.135,0,0.341
2TYPyMen3VrXo4bljRLQvo,AU7V11100005,5kbidtcpyRRMdAQUnI1BG4,2AX3vMS7gYbrS7tALE4U7Q,And Plague Flowers the Kaleidoscope,Ne Obliviscaris,Portal of I,album,Welkin Records,35,2012-05-07,2012,7,37,genres TODO,101443,0.337,0.873,-7.415,0.0667,2.71e-05,0.11,0.149,0.186,692853,692.853,11.548,2.00853,681.26764,107.415,0.401,3,0.224,2,0.63,1,0.386
08BYgHcpADKZSCXSMGy9kv,uscgh1710062,4fT0EFqj2Pifg9v6loy7Rd,0Y0aX7lnnCZJRqOSjRplSW,Backseats,Deaf Radio,Alarm,album,Deaf Radio,22,2017-01-09,2017,9,27,genres TODO,11345,0.622,0.628,-6.707,0.0404,0.000637,0.0149,0.105,0.278,306217,306.217,5.104,0.0,295.4449,107.988,0.667,4,0.919,11,0.933,1,0.829
4qIwoFHTPRi2Fh4iHOUiuF,DENQ81600474,0WB89hYs9ZY6HpuK59lJIQ,0Z48qpdiIeczm0l3sN0BvE,Alea,Disillusion,Alea,single,recordJet,18,2016-10-07,2016,1,24,genres TODO,13559,0.221,0.889,-7.248,0.0826,0.000776,0.621,0.0675,0.238,620067,620.067,10.334,2.83864,614.01685,169.9,0.339,4,0.529,3,0.605,0,0.479
4Eya9E3OOY9QCec2ssaG6T,QMKHM2200003,2ePzbA0F0TD96Na0MEB2Cf,26ZZ3Pr3U6OCzveywxauf2,High Plains Drifter,Kirk Hammett,High Plains Drifter,single,Blackened Recordings,26,2022-04-15,2022,1,31,genres TODO,29363,0.223,0.714,-4.392,0.04,0.089,0.572,0.12,0.234,285960,285.96,4.766,0.0,277.27527,173.345,0.051,4,0.955,1,0.416,1,0.586
4K0J60qANcOepqn8X6qprT,USHM21440888,2WawM0NGbPNj0LufQkaTSE,7JGytGrtCIMdGcAMIM6ueM,The Number of the Beast,Shawn James & the Shapeshifters,The Covers,album,SHAWN JAMES SOUL INC,36,2014-05-27,2014,8,35,genres TODO,36996,0.243,0.687,-5.239,0.0341,0.56,8.42e-05,0.0838,0.185,384175,384.175,6.403,0.24853,364.36172,124.887,0.104,4,1.0,0,0.337,1,0.511
